critical_high_ratio,content_type_encoded,has_forms,response_time_ms_scaled,status_category_encoded,waf_detected,log_response_size,path_depth_scaled,security_score,input_count,has_inputs,subdomain_count,num_query_params,total_headers,has_frame_options,has_comments,has_javascript,response_size_scaled,has_csp,url_length,security_headers_count_scaled,params_per_input,has_hsts,has_https,vuln_density_per_kb,input_count_scaled,interactivity_score,security_headers_count,server_header_encoded,path_depth,form_count,form_count_scaled,domain_tld_encoded,response_time_ms,response_size,has_xss_protection,has_sql_injection,has_xss,has_command_injection,has_path_traversal,has_idor
0.0,0,1.0,0.19614403290636367,0,0,10.748840665985405,0.15384615384615385,30.0,10.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,0.017092705927947423,1.0,53,0.875,1.0,1.0,0,0.0,0.06097560975609756,4.0,7.0,2,2.0,1.0,0.0625,8,1227.376,46575.0,1.0,0,0,0,0,0
0.0,0,0.0,0.1419249021582346,0,0,8.766394277049736,0.15384615384615385,90.0,1.0,1.0,1.0,0.0,10.0,1.0,1.0,1.0,0.002353577599431589,0.0,36,0.125,1.0,0.0,0,0.0,0.006097560975609756,2.0,1.0,31,2.0,0.0,0.0,8,909.598,6414.0,0.0,0,0,0,0,0
0.0,0,0.0,0.03545268942435362,2,0,6.3080984415095305,0.23076923076923078,100.0,0.0,0.0,1.0,0.0,7.0,0.0,1.0,0.0,0.00020074956290177439,0.0,44,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,31,3.0,0.0,0.0,8,285.565,548.0,0.0,0,0,0,0,0
0.0,0,0.0,0.024888440424951808,2,0,6.3080984415095305,0.23076923076923078,100.0,0.0,0.0,1.0,0.0,7.0,0.0,1.0,0.0,0.00020074956290177439,0.0,46,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,31,3.0,0.0,0.0,8,223.648,548.0,0.0,0,0,0,0,0
0.0,0,1.0,0.1334502304557896,0,0,11.016314992162503,0.23076923076923078,90.0,4.0,1.0,1.0,0.0,10.0,1.0,1.0,1.0,0.02233458162616688,0.0,46,0.125,1.0,0.0,0,0.0,0.024390243902439025,4.0,1.0,31,3.0,1.0,0.0625,8,859.928,60858.0,0.0,0,0,0,0,0
0.0,0,1.0,0.07027476909206869,0,0,8.887790764195326,0.15384615384615385,90.0,3.0,1.0,1.0,0.0,10.0,1.0,0.0,1.0,0.0026574544515022822,0.0,31,0.125,1.0,0.0,0,0.0,0.01829268292682927,4.0,1.0,31,2.0,1.0,0.0625,8,489.657,7242.0,0.0,0,0,0,0,0
0.0,0,0.0,0.13391755732901278,0,0,8.824824939175638,0.15384615384615385,90.0,1.0,1.0,1.0,0.0,10.0,1.0,1.0,1.0,0.0024952399966529505,0.0,35,0.125,1.0,0.0,0,0.0,0.006097560975609756,2.0,1.0,31,2.0,0.0,0.0,8,862.6669999999999,6800.0,0.0,0,0,0,0,0
0.0,0,0.0,0.14683584388586646,0,0,8.897682313454224,0.15384615384615385,90.0,1.0,1.0,1.0,0.0,10.0,1.0,1.0,1.0,0.002683878525595386,0.0,31,0.125,1.0,0.0,0,0.0,0.006097560975609756,2.0,1.0,31,2.0,0.0,0.0,8,938.381,7314.0,0.0,0,0,0,0,0
0.0,0,1.0,0.11612074675387829,0,0,10.862914399287419,0.15384615384615385,90.0,4.0,1.0,1.0,0.0,10.0,1.0,1.0,1.0,0.019158187719558364,0.0,39,0.125,1.0,0.0,0,0.0,0.024390243902439025,4.0,1.0,31,2.0,1.0,0.0625,8,758.36,52203.0,0.0,0,0,0,0,0
0.0,0,0.0,0.1381079728114378,0,0,8.766550149546351,0.15384615384615385,90.0,1.0,1.0,1.0,0.0,10.0,1.0,1.0,1.0,0.0023539446004606597,0.0,36,0.125,1.0,0.0,0,0.0,0.006097560975609756,2.0,1.0,31,2.0,0.0,0.0,8,887.227,6415.0,0.0,0,0,0,0,0
0.0,0,1.0,0.15942500538304596,0,0,11.164856242503353,0.23076923076923078,90.0,4.0,1.0,1.0,0.0,10.0,1.0,1.0,1.0,0.02591137365549173,0.0,44,0.125,1.0,0.0,0,0.0,0.024390243902439025,4.0,1.0,31,3.0,1.0,0.0625,8,1012.166,70604.0,0.0,0,0,0,0,0
0.0,0,0.0,0.1072930632585531,0,0,9.483187955469509,0.15384615384615385,90.0,1.0,1.0,1.0,0.0,10.0,1.0,1.0,1.0,0.004820558516846081,0.0,38,0.125,1.0,0.0,0,0.0,0.006097560975609756,2.0,1.0,31,2.0,0.0,0.0,8,706.6210000000001,13136.0,0.0,0,0,0,0,0
0.0,0,1.0,0.12182438678490373,0,0,11.07268255932612,0.23076923076923078,90.0,4.0,1.0,1.0,0.0,10.0,1.0,1.0,1.0,0.023629728257758036,0.0,46,0.125,1.0,0.0,0,0.0,0.024390243902439025,4.0,1.0,31,3.0,1.0,0.0625,8,791.789,64387.0,0.0,0,0,0,0,0
0.0,0,1.0,0.11354149142619835,0,0,11.265745335827777,0.23076923076923078,90.0,4.0,1.0,1.0,0.0,10.0,1.0,1.0,1.0,0.028662046368378016,0.0,46,0.125,1.0,0.0,0,0.0,0.024390243902439025,4.0,1.0,31,3.0,1.0,0.0625,8,743.2429999999999,78099.0,0.0,0,0,0,0,0
0.0,0,0.0,0.13242634269886647,0,0,8.96405612822033,0.15384615384615385,90.0,1.0,1.0,1.0,0.0,10.0,1.0,1.0,1.0,0.0028681130421889705,0.0,37,0.125,1.0,0.0,0,0.0,0.006097560975609756,2.0,1.0,31,2.0,0.0,0.0,8,853.927,7816.0,0.0,0,0,0,0,0
