critical_high_ratio,content_type_encoded,has_forms,response_time_ms_scaled,status_category_encoded,waf_detected,log_response_size,path_depth_scaled,security_score,input_count,has_inputs,subdomain_count,num_query_params,total_headers,has_frame_options,has_comments,has_javascript,response_size_scaled,has_csp,url_length,security_headers_count_scaled,params_per_input,has_hsts,has_https,vuln_density_per_kb,input_count_scaled,interactivity_score,security_headers_count,server_header_encoded,path_depth,form_count,form_count_scaled,domain_tld_encoded,response_time_ms,response_size,has_xss_protection
0.631578947368421,0,1.0,0.24786768251255675,0,0,13.026292908653595,0.0,0.8800000000000001,6.0,1.0,1.0,0.0,36.0,0.0,1.0,1.0,0.21474016656383488,1.0,21,0.5,0.0,1.0,1,0.04283584948447707,0.13636363636363635,0.9357142857142858,4.0,11,0.0,1.0,0.2,4,1530.528,454199.0,0.0
0.0,0,0.0,0.025675678903612595,0,1,14.174463904371736,0.3333333333333333,0.44000000000000006,0.0,0.0,1.0,0.0,15.0,0.0,1.0,1.0,0.6769536264157099,0.0,39,0.25,0.0,1.0,1,0.0007151691996739834,0.0,0.2,2.0,10,2.0,0.0,0.0,4,228.262,1431829.0,0.0
0.0,0,0.0,0.07682485257620125,0,0,9.888018521632196,0.0,1.14,0.0,0.0,0.0,0.0,26.0,0.0,0.0,1.0,0.009309703300781756,1.0,19,0.875,0.0,1.0,1,0.0,0.0,0.2,7.0,8,0.0,0.0,0.0,4,528.047,19692.0,1.0
0.9811320754716981,0,0.0,0.06666872547557634,1,0,5.60947179518496,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.00012812602684027506,0.0,19,0.0,0.0,0.0,0,199.52941176470588,0.0,0.0,0.0,4,0.0,0.0,0.0,4,468.522,272.0,0.0
0.0,0,1.0,0.13379675870679958,0,1,9.231612507251722,0.16666666666666666,0.6400000000000001,4.0,1.0,1.0,0.0,16.0,1.0,1.0,1.0,0.004828601889740699,1.0,26,0.25,0.0,0.0,1,0.1002545525748972,0.09090909090909091,0.9300000000000002,2.0,8,1.0,1.0,0.2,4,861.9590000000001,10214.0,0.0
0.0,0,1.0,0.09023076972950324,0,1,11.519126200611833,0.3333333333333333,0.6400000000000001,4.0,1.0,1.0,0.0,17.0,1.0,1.0,1.0,0.04757210634933017,1.0,104,0.25,0.0,0.0,1,0.010176802059212292,0.09090909090909091,0.9466666666666668,2.0,8,2.0,2.0,0.4,4,606.619,100621.0,0.0
0.0,0,0.0,0.09111304328241933,2,1,9.92299601892417,0.16666666666666666,0.6600000000000001,0.0,0.0,1.0,0.0,16.0,1.0,1.0,1.0,0.009641128927405495,1.0,43,0.375,0.0,0.0,1,0.05021330848820674,0.0,0.2,3.0,8,1.0,0.0,0.0,4,611.79,20393.0,0.0
0.0,0,0.0,0.045021032268587884,2,1,9.104535313079205,0.0,0.7000000000000001,0.0,0.0,1.0,0.0,23.0,1.0,0.0,1.0,0.00425227116384293,0.0,22,0.625,0.0,0.0,1,0.22768204558087826,0.0,0.2,5.0,8,0.0,0.0,0.0,4,341.645,8995.0,0.0
1.2610062893081762,0,0.0,0.05050713240791579,0,0,8.98632143762602,0.3333333333333333,0.6400000000000001,1.0,1.0,2.0,0.0,11.0,1.0,0.0,1.0,0.0037780630276038306,0.0,42,0.25,0.0,1.0,1,40.74474474474474,0.022727272727272728,0.55,2.0,26,2.0,0.0,0.0,19,373.799,7992.0,0.0
0.0,0,0.0,0.06130325333893875,1,1,5.123963979403259,0.0,0.44000000000000006,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,7.848310131175521e-05,0.0,20,0.25,0.0,1.0,1,18.395209580838323,0.0,0.0,2.0,8,0.0,0.0,0.0,4,437.075,167.0,0.0
